n_obs_original,n_obs_efectivo,grupo_original,grupo_efectivo,cambia_de_grupo
576,576,500-999,500-999,False
565,565,500-999,500-999,False
363,363,250-499,250-499,False
292,292,250-499,250-499,False
271,271,250-499,250-499,False
44,44,<100,<100,False
444,444,250-499,250-499,False
515,515,500-999,500-999,False
400,400,250-499,250-499,False
391,391,250-499,250-499,False
637,637,500-999,500-999,False
935,935,500-999,500-999,False
1036,1036,>=1000,>=1000,False
44,44,<100,<100,False
438,438,250-499,250-499,False
1425,1425,>=1000,>=1000,False
371,371,250-499,250-499,False
254,254,250-499,250-499,False
216,216,100-249,100-249,False
76,76,<100,<100,False
377,377,250-499,250-499,False
526,526,500-999,500-999,False
177,177,100-249,100-249,False
469,469,250-499,250-499,False
284,284,250-499,250-499,False
790,790,500-999,500-999,False
477,477,250-499,250-499,False
649,649,500-999,500-999,False
292,292,250-499,250-499,False
294,294,250-499,250-499,False
735,735,500-999,500-999,False
40,40,<100,<100,False
69,69,<100,<100,False
798,798,500-999,500-999,False
392,392,250-499,250-499,False
533,533,500-999,500-999,False
499,499,250-499,250-499,False
177,177,100-249,100-249,False
270,270,250-499,250-499,False
1137,1137,>=1000,>=1000,False
125,125,100-249,100-249,False
453,453,250-499,250-499,False
812,812,500-999,500-999,False
793,793,500-999,500-999,False
2168,2168,>=1000,>=1000,False
86,86,<100,<100,False
227,227,100-249,100-249,False
1378,1378,>=1000,>=1000,False
416,416,250-499,250-499,False
281,281,250-499,250-499,False
1955,1955,>=1000,>=1000,False
531,531,500-999,500-999,False
147,147,100-249,100-249,False
341,341,250-499,250-499,False
859,859,500-999,500-999,False
602,602,500-999,500-999,False
325,325,250-499,250-499,False
353,353,250-499,250-499,False
1145,1145,>=1000,>=1000,False
1961,1961,>=1000,>=1000,False
1051,1051,>=1000,>=1000,False
47,47,<100,<100,False
1085,1085,>=1000,>=1000,False
213,213,100-249,100-249,False
301,301,250-499,250-499,False
640,640,500-999,500-999,False
355,355,250-499,250-499,False
641,641,500-999,500-999,False
795,795,500-999,500-999,False
308,308,250-499,250-499,False
542,542,500-999,500-999,False
1491,1491,>=1000,>=1000,False
761,761,500-999,500-999,False
303,303,250-499,250-499,False
107,107,100-249,100-249,False
988,988,500-999,500-999,False
494,494,250-499,250-499,False
642,642,500-999,500-999,False
708,708,500-999,500-999,False
235,235,100-249,100-249,False
1009,1009,>=1000,>=1000,False
322,322,250-499,250-499,False
1042,1042,>=1000,>=1000,False
566,566,500-999,500-999,False
1105,1105,>=1000,>=1000,False
284,284,250-499,250-499,False
674,674,500-999,500-999,False
2295,2295,>=1000,>=1000,False
341,341,250-499,250-499,False
472,472,250-499,250-499,False
461,461,250-499,250-499,False
370,370,250-499,250-499,False
1418,1418,>=1000,>=1000,False
1243,1243,>=1000,>=1000,False
1189,1189,>=1000,>=1000,False
962,962,500-999,500-999,False
688,688,500-999,500-999,False
292,292,250-499,250-499,False
143,143,100-249,100-249,False
24,24,<100,<100,False
117,117,100-249,100-249,False
93,93,<100,<100,False
703,703,500-999,500-999,False
494,494,250-499,250-499,False
307,307,250-499,250-499,False
141,141,100-249,100-249,False
786,786,500-999,500-999,False
756,756,500-999,500-999,False
1075,1074,>=1000,>=1000,False
599,599,500-999,500-999,False
446,446,250-499,250-499,False
651,651,500-999,500-999,False
51,51,<100,<100,False
539,539,500-999,500-999,False
1345,1345,>=1000,>=1000,False
410,410,250-499,250-499,False
568,568,500-999,500-999,False
981,981,500-999,500-999,False
1226,1226,>=1000,>=1000,False
50,50,<100,<100,False
55,55,<100,<100,False
862,862,500-999,500-999,False
323,323,250-499,250-499,False
170,170,100-249,100-249,False
495,495,250-499,250-499,False
354,354,250-499,250-499,False
173,173,100-249,100-249,False
1504,1504,>=1000,>=1000,False
530,530,500-999,500-999,False
670,670,500-999,500-999,False
49,49,<100,<100,False
302,302,250-499,250-499,False
11,11,<100,<100,False
200,200,100-249,100-249,False
142,142,100-249,100-249,False
113,113,100-249,100-249,False
122,122,100-249,100-249,False
542,542,500-999,500-999,False
140,140,100-249,100-249,False
603,603,500-999,500-999,False
472,472,250-499,250-499,False
310,310,250-499,250-499,False
502,501,500-999,500-999,False
285,285,250-499,250-499,False
470,470,250-499,250-499,False
782,782,500-999,500-999,False
897,897,500-999,500-999,False
336,336,250-499,250-499,False
782,782,500-999,500-999,False
1052,1052,>=1000,>=1000,False
326,325,250-499,250-499,False
410,410,250-499,250-499,False
173,173,100-249,100-249,False
496,496,250-499,250-499,False
395,395,250-499,250-499,False
45,45,<100,<100,False
661,661,500-999,500-999,False
291,291,250-499,250-499,False
314,314,250-499,250-499,False
1268,1268,>=1000,>=1000,False
712,712,500-999,500-999,False
593,593,500-999,500-999,False
364,364,250-499,250-499,False
1305,1305,>=1000,>=1000,False
1411,1411,>=1000,>=1000,False
1078,1078,>=1000,>=1000,False
1053,1053,>=1000,>=1000,False
437,437,250-499,250-499,False
1023,1023,>=1000,>=1000,False
122,122,100-249,100-249,False
435,435,250-499,250-499,False
964,964,500-999,500-999,False
252,252,250-499,250-499,False
75,75,<100,<100,False
80,80,<100,<100,False
284,284,250-499,250-499,False
310,310,250-499,250-499,False
408,408,250-499,250-499,False
47,47,<100,<100,False
664,664,500-999,500-999,False
422,422,250-499,250-499,False
309,309,250-499,250-499,False
53,53,<100,<100,False
301,301,250-499,250-499,False
1054,1053,>=1000,>=1000,False
174,174,100-249,100-249,False
753,753,500-999,500-999,False
1164,1164,>=1000,>=1000,False
780,780,500-999,500-999,False
1253,1253,>=1000,>=1000,False
308,308,250-499,250-499,False
2195,2195,>=1000,>=1000,False
271,271,250-499,250-499,False
863,863,500-999,500-999,False
286,286,250-499,250-499,False
780,780,500-999,500-999,False
89,89,<100,<100,False
724,724,500-999,500-999,False
372,372,250-499,250-499,False
459,459,250-499,250-499,False
493,493,250-499,250-499,False
400,399,250-499,250-499,False
394,394,250-499,250-499,False
305,305,250-499,250-499,False
569,569,500-999,500-999,False
713,713,500-999,500-999,False
311,311,250-499,250-499,False
672,672,500-999,500-999,False
677,677,500-999,500-999,False
958,958,500-999,500-999,False
308,308,250-499,250-499,False
585,585,500-999,500-999,False
583,583,500-999,500-999,False
322,322,250-499,250-499,False
644,644,500-999,500-999,False
1216,1216,>=1000,>=1000,False
802,802,500-999,500-999,False
185,185,100-249,100-249,False
35,35,<100,<100,False
752,752,500-999,500-999,False
239,239,100-249,100-249,False
785,785,500-999,500-999,False
42,42,<100,<100,False
1799,1799,>=1000,>=1000,False
392,392,250-499,250-499,False
1148,1148,>=1000,>=1000,False
1280,1280,>=1000,>=1000,False
1334,1334,>=1000,>=1000,False
174,174,100-249,100-249,False
451,451,250-499,250-499,False
320,320,250-499,250-499,False
300,300,250-499,250-499,False
595,595,500-999,500-999,False
48,48,<100,<100,False
1152,1152,>=1000,>=1000,False
757,757,500-999,500-999,False
775,775,500-999,500-999,False
80,80,<100,<100,False
164,164,100-249,100-249,False
590,590,500-999,500-999,False
37,37,<100,<100,False
747,747,500-999,500-999,False
261,261,250-499,250-499,False
1292,1292,>=1000,>=1000,False
421,421,250-499,250-499,False
437,437,250-499,250-499,False
714,714,500-999,500-999,False
594,594,500-999,500-999,False
46,46,<100,<100,False
46,46,<100,<100,False
94,94,<100,<100,False
297,297,250-499,250-499,False
1263,1263,>=1000,>=1000,False
76,76,<100,<100,False
133,133,100-249,100-249,False
1015,1015,>=1000,>=1000,False
285,285,250-499,250-499,False
593,593,500-999,500-999,False
1496,1495,>=1000,>=1000,False
503,503,500-999,500-999,False
297,297,250-499,250-499,False
286,286,250-499,250-499,False
1155,1155,>=1000,>=1000,False
78,78,<100,<100,False
698,698,500-999,500-999,False
109,109,100-249,100-249,False
938,938,500-999,500-999,False
285,285,250-499,250-499,False
463,463,250-499,250-499,False
403,403,250-499,250-499,False
589,589,500-999,500-999,False
401,401,250-499,250-499,False
341,341,250-499,250-499,False
33,33,<100,<100,False
31,31,<100,<100,False
258,258,250-499,250-499,False
1067,1067,>=1000,>=1000,False
1013,1013,>=1000,>=1000,False
278,278,250-499,250-499,False
463,463,250-499,250-499,False
1022,1022,>=1000,>=1000,False
682,682,500-999,500-999,False
47,47,<100,<100,False
43,43,<100,<100,False
134,134,100-249,100-249,False
127,127,100-249,100-249,False
539,539,500-999,500-999,False
718,718,500-999,500-999,False
335,335,250-499,250-499,False
426,426,250-499,250-499,False
287,287,250-499,250-499,False
341,341,250-499,250-499,False
222,222,100-249,100-249,False
790,790,500-999,500-999,False
1212,1212,>=1000,>=1000,False
227,227,100-249,100-249,False
147,147,100-249,100-249,False
705,705,500-999,500-999,False
588,588,500-999,500-999,False
984,984,500-999,500-999,False
81,81,<100,<100,False
1309,1309,>=1000,>=1000,False
416,416,250-499,250-499,False
776,776,500-999,500-999,False
438,438,250-499,250-499,False
46,46,<100,<100,False
278,278,250-499,250-499,False
1298,1298,>=1000,>=1000,False
326,326,250-499,250-499,False
678,678,500-999,500-999,False
524,524,500-999,500-999,False
547,547,500-999,500-999,False
347,347,250-499,250-499,False
53,53,<100,<100,False
67,67,<100,<100,False
453,453,250-499,250-499,False
801,801,500-999,500-999,False
1129,1129,>=1000,>=1000,False
514,514,500-999,500-999,False
678,678,500-999,500-999,False
299,299,250-499,250-499,False
208,208,100-249,100-249,False
898,898,500-999,500-999,False
563,563,500-999,500-999,False
630,630,500-999,500-999,False
1086,1086,>=1000,>=1000,False
1482,1482,>=1000,>=1000,False
515,515,500-999,500-999,False
56,56,<100,<100,False
225,225,100-249,100-249,False
729,729,500-999,500-999,False
710,710,500-999,500-999,False
1095,1095,>=1000,>=1000,False
522,522,500-999,500-999,False
579,579,500-999,500-999,False
687,687,500-999,500-999,False
47,47,<100,<100,False
757,757,500-999,500-999,False
1085,1085,>=1000,>=1000,False
761,761,500-999,500-999,False
147,147,100-249,100-249,False
463,463,250-499,250-499,False
653,653,500-999,500-999,False
241,241,100-249,100-249,False
53,53,<100,<100,False
1225,1225,>=1000,>=1000,False
1174,1174,>=1000,>=1000,False
204,204,100-249,100-249,False
542,542,500-999,500-999,False
438,438,250-499,250-499,False
115,115,100-249,100-249,False
420,420,250-499,250-499,False
698,698,500-999,500-999,False
580,580,500-999,500-999,False
273,273,250-499,250-499,False
173,173,100-249,100-249,False
1226,1226,>=1000,>=1000,False
880,880,500-999,500-999,False
315,315,250-499,250-499,False
411,411,250-499,250-499,False
223,223,100-249,100-249,False
409,409,250-499,250-499,False
518,518,500-999,500-999,False
520,520,500-999,500-999,False
653,653,500-999,500-999,False
602,602,500-999,500-999,False
331,331,250-499,250-499,False
50,50,<100,<100,False
332,332,250-499,250-499,False
94,94,<100,<100,False
636,636,500-999,500-999,False
312,312,250-499,250-499,False
91,91,<100,<100,False
643,643,500-999,500-999,False
352,352,250-499,250-499,False
734,733,500-999,500-999,False
695,695,500-999,500-999,False
396,396,250-499,250-499,False
426,426,250-499,250-499,False
296,296,250-499,250-499,False
348,348,250-499,250-499,False
699,699,500-999,500-999,False
378,378,250-499,250-499,False
472,472,250-499,250-499,False
801,801,500-999,500-999,False
1060,1060,>=1000,>=1000,False
1149,1149,>=1000,>=1000,False
318,318,250-499,250-499,False
265,265,250-499,250-499,False
77,77,<100,<100,False
368,368,250-499,250-499,False
644,644,500-999,500-999,False
753,753,500-999,500-999,False
268,268,250-499,250-499,False
654,654,500-999,500-999,False
50,50,<100,<100,False
197,197,100-249,100-249,False
910,910,500-999,500-999,False
304,304,250-499,250-499,False
481,481,250-499,250-499,False
284,284,250-499,250-499,False
286,286,250-499,250-499,False
944,944,500-999,500-999,False
1651,1651,>=1000,>=1000,False
1258,1258,>=1000,>=1000,False
712,712,500-999,500-999,False
516,516,500-999,500-999,False
208,208,100-249,100-249,False
456,456,250-499,250-499,False
634,634,500-999,500-999,False
155,155,100-249,100-249,False
315,315,250-499,250-499,False
633,633,500-999,500-999,False
472,472,250-499,250-499,False
439,439,250-499,250-499,False
304,304,250-499,250-499,False
191,191,100-249,100-249,False
621,621,500-999,500-999,False
409,409,250-499,250-499,False
1178,1178,>=1000,>=1000,False
968,968,500-999,500-999,False
229,229,100-249,100-249,False
94,94,<100,<100,False
81,81,<100,<100,False
281,281,250-499,250-499,False
1109,1109,>=1000,>=1000,False
77,77,<100,<100,False
212,212,100-249,100-249,False
471,471,250-499,250-499,False
887,887,500-999,500-999,False
449,449,250-499,250-499,False
1047,1047,>=1000,>=1000,False
1209,1209,>=1000,>=1000,False
1152,1152,>=1000,>=1000,False
128,128,100-249,100-249,False
204,204,100-249,100-249,False
688,688,500-999,500-999,False
467,467,250-499,250-499,False
605,605,500-999,500-999,False
339,339,250-499,250-499,False
435,435,250-499,250-499,False
477,477,250-499,250-499,False
1060,1060,>=1000,>=1000,False
976,976,500-999,500-999,False
213,213,100-249,100-249,False
559,559,500-999,500-999,False
219,219,100-249,100-249,False
467,467,250-499,250-499,False
523,523,500-999,500-999,False
322,322,250-499,250-499,False
269,269,250-499,250-499,False
689,689,500-999,500-999,False
863,863,500-999,500-999,False
325,325,250-499,250-499,False
657,657,500-999,500-999,False
118,118,100-249,100-249,False
308,308,250-499,250-499,False
392,392,250-499,250-499,False
724,724,500-999,500-999,False
354,354,250-499,250-499,False
95,95,<100,<100,False
37,37,<100,<100,False
622,622,500-999,500-999,False
359,359,250-499,250-499,False
590,590,500-999,500-999,False
437,437,250-499,250-499,False
655,655,500-999,500-999,False
212,212,100-249,100-249,False
292,292,250-499,250-499,False
78,78,<100,<100,False
708,708,500-999,500-999,False
156,156,100-249,100-249,False
12,12,<100,<100,False
403,403,250-499,250-499,False
557,557,500-999,500-999,False
441,441,250-499,250-499,False
740,740,500-999,500-999,False
343,343,250-499,250-499,False
145,145,100-249,100-249,False
352,352,250-499,250-499,False
372,372,250-499,250-499,False
831,831,500-999,500-999,False
392,392,250-499,250-499,False
787,787,500-999,500-999,False
474,474,250-499,250-499,False
207,207,100-249,100-249,False
156,156,100-249,100-249,False
282,282,250-499,250-499,False
1218,1218,>=1000,>=1000,False
288,288,250-499,250-499,False
492,492,250-499,250-499,False
1509,1509,>=1000,>=1000,False
578,578,500-999,500-999,False
145,145,100-249,100-249,False
142,142,100-249,100-249,False
292,292,250-499,250-499,False
214,214,100-249,100-249,False
406,406,250-499,250-499,False
547,547,500-999,500-999,False
930,930,500-999,500-999,False
548,548,500-999,500-999,False
672,672,500-999,500-999,False
565,565,500-999,500-999,False
2169,2169,>=1000,>=1000,False
86,86,<100,<100,False
70,70,<100,<100,False
219,219,100-249,100-249,False
1135,1135,>=1000,>=1000,False
522,522,500-999,500-999,False
333,333,250-499,250-499,False
911,911,500-999,500-999,False
505,505,500-999,500-999,False
680,680,500-999,500-999,False
479,479,250-499,250-499,False
1153,1153,>=1000,>=1000,False
1158,1158,>=1000,>=1000,False
907,907,500-999,500-999,False
1010,1010,>=1000,>=1000,False
278,278,250-499,250-499,False
466,466,250-499,250-499,False
467,467,250-499,250-499,False
1052,1052,>=1000,>=1000,False
437,437,250-499,250-499,False
569,569,500-999,500-999,False
380,380,250-499,250-499,False
258,258,250-499,250-499,False
699,699,500-999,500-999,False
1012,1012,>=1000,>=1000,False
466,466,250-499,250-499,False
184,184,100-249,100-249,False
82,82,<100,<100,False
727,727,500-999,500-999,False
226,226,100-249,100-249,False
298,298,250-499,250-499,False
631,631,500-999,500-999,False
40,40,<100,<100,False
218,218,100-249,100-249,False
202,202,100-249,100-249,False
162,162,100-249,100-249,False
57,57,<100,<100,False
75,75,<100,<100,False
1311,1311,>=1000,>=1000,False
45,45,<100,<100,False
784,784,500-999,500-999,False
383,383,250-499,250-499,False
1158,1158,>=1000,>=1000,False
212,212,100-249,100-249,False
336,335,250-499,250-499,False
37,37,<100,<100,False
653,653,500-999,500-999,False
220,220,100-249,100-249,False
48,48,<100,<100,False
486,486,250-499,250-499,False
643,643,500-999,500-999,False
172,172,100-249,100-249,False
1349,1349,>=1000,>=1000,False
456,456,250-499,250-499,False
308,308,250-499,250-499,False
451,451,250-499,250-499,False
189,189,100-249,100-249,False
309,309,250-499,250-499,False
294,294,250-499,250-499,False
32,32,<100,<100,False
33,33,<100,<100,False
632,632,500-999,500-999,False
893,893,500-999,500-999,False
202,202,100-249,100-249,False
64,64,<100,<100,False
168,168,100-249,100-249,False
192,192,100-249,100-249,False
334,334,250-499,250-499,False
633,633,500-999,500-999,False
668,668,500-999,500-999,False
1061,1061,>=1000,>=1000,False
490,490,250-499,250-499,False
471,471,250-499,250-499,False
390,390,250-499,250-499,False
518,518,500-999,500-999,False
742,742,500-999,500-999,False
249,249,100-249,100-249,False
2276,2276,>=1000,>=1000,False
297,297,250-499,250-499,False
854,854,500-999,500-999,False
331,331,250-499,250-499,False
154,154,100-249,100-249,False
167,167,100-249,100-249,False
1856,1856,>=1000,>=1000,False
739,739,500-999,500-999,False
79,79,<100,<100,False
1434,1434,>=1000,>=1000,False
642,642,500-999,500-999,False
648,648,500-999,500-999,False
391,391,250-499,250-499,False
600,600,500-999,500-999,False
786,786,500-999,500-999,False
928,928,500-999,500-999,False
36,36,<100,<100,False
704,704,500-999,500-999,False
803,803,500-999,500-999,False
643,643,500-999,500-999,False
176,176,100-249,100-249,False
172,172,100-249,100-249,False
613,613,500-999,500-999,False
167,167,100-249,100-249,False
271,271,250-499,250-499,False
1041,1041,>=1000,>=1000,False
385,385,250-499,250-499,False
679,679,500-999,500-999,False
262,262,250-499,250-499,False
613,613,500-999,500-999,False
353,353,250-499,250-499,False
598,598,500-999,500-999,False
331,331,250-499,250-499,False
624,624,500-999,500-999,False
325,325,250-499,250-499,False
45,45,<100,<100,False
249,249,100-249,100-249,False
434,434,250-499,250-499,False
662,662,500-999,500-999,False
149,149,100-249,100-249,False
210,210,100-249,100-249,False
1164,1164,>=1000,>=1000,False
239,239,100-249,100-249,False
604,604,500-999,500-999,False
412,412,250-499,250-499,False
613,613,500-999,500-999,False
391,391,250-499,250-499,False
766,766,500-999,500-999,False
521,521,500-999,500-999,False
434,434,250-499,250-499,False
485,485,250-499,250-499,False
1102,1102,>=1000,>=1000,False
398,398,250-499,250-499,False
1065,1065,>=1000,>=1000,False
626,626,500-999,500-999,False
300,300,250-499,250-499,False
401,401,250-499,250-499,False
294,293,250-499,250-499,False
51,51,<100,<100,False
137,137,100-249,100-249,False
52,52,<100,<100,False
551,551,500-999,500-999,False
272,272,250-499,250-499,False
84,84,<100,<100,False
145,145,100-249,100-249,False
666,666,500-999,500-999,False
454,454,250-499,250-499,False
570,570,500-999,500-999,False
479,479,250-499,250-499,False
962,962,500-999,500-999,False
254,254,250-499,250-499,False
361,361,250-499,250-499,False
67,67,<100,<100,False
1488,1488,>=1000,>=1000,False
802,802,500-999,500-999,False
536,536,500-999,500-999,False
998,998,500-999,500-999,False
231,231,100-249,100-249,False
92,92,<100,<100,False
617,617,500-999,500-999,False
419,419,250-499,250-499,False
389,389,250-499,250-499,False
1107,1107,>=1000,>=1000,False
323,323,250-499,250-499,False
234,234,100-249,100-249,False
275,275,250-499,250-499,False
76,76,<100,<100,False
307,307,250-499,250-499,False
1137,1137,>=1000,>=1000,False
928,928,500-999,500-999,False
47,47,<100,<100,False
114,114,100-249,100-249,False
1051,1051,>=1000,>=1000,False
47,47,<100,<100,False
275,275,250-499,250-499,False
254,254,250-499,250-499,False
297,297,250-499,250-499,False
688,688,500-999,500-999,False
349,349,250-499,250-499,False
1170,1170,>=1000,>=1000,False
205,205,100-249,100-249,False
214,214,100-249,100-249,False
64,64,<100,<100,False
485,485,250-499,250-499,False
1115,1115,>=1000,>=1000,False
54,54,<100,<100,False
418,418,250-499,250-499,False
277,277,250-499,250-499,False
437,437,250-499,250-499,False
596,596,500-999,500-999,False
55,55,<100,<100,False
688,688,500-999,500-999,False
218,218,100-249,100-249,False
251,251,250-499,250-499,False
153,153,100-249,100-249,False
43,43,<100,<100,False
416,416,250-499,250-499,False
474,474,250-499,250-499,False
658,658,500-999,500-999,False
676,676,500-999,500-999,False
1007,1007,>=1000,>=1000,False
627,627,500-999,500-999,False
465,465,250-499,250-499,False
262,262,250-499,250-499,False
473,473,250-499,250-499,False
170,170,100-249,100-249,False
1143,1143,>=1000,>=1000,False
212,212,100-249,100-249,False
128,128,100-249,100-249,False
170,170,100-249,100-249,False
893,893,500-999,500-999,False
107,107,100-249,100-249,False
522,522,500-999,500-999,False
499,499,250-499,250-499,False
362,362,250-499,250-499,False
275,275,250-499,250-499,False
845,845,500-999,500-999,False
1131,1131,>=1000,>=1000,False
365,365,250-499,250-499,False
78,78,<100,<100,False
33,33,<100,<100,False
695,695,500-999,500-999,False
181,181,100-249,100-249,False
1522,1522,>=1000,>=1000,False
410,410,250-499,250-499,False
218,218,100-249,100-249,False
102,102,100-249,100-249,False
759,759,500-999,500-999,False
481,481,250-499,250-499,False
205,205,100-249,100-249,False
519,519,500-999,500-999,False
83,83,<100,<100,False
598,598,500-999,500-999,False
489,489,250-499,250-499,False
159,159,100-249,100-249,False
272,272,250-499,250-499,False
502,502,500-999,500-999,False
2244,2244,>=1000,>=1000,False
130,130,100-249,100-249,False
970,970,500-999,500-999,False
465,465,250-499,250-499,False
225,225,100-249,100-249,False
521,521,500-999,500-999,False
782,782,500-999,500-999,False
123,123,100-249,100-249,False
795,795,500-999,500-999,False
589,589,500-999,500-999,False
249,249,100-249,100-249,False
634,634,500-999,500-999,False
708,708,500-999,500-999,False
328,328,250-499,250-499,False
80,80,<100,<100,False
