id_objeto,clase,score_if,score_lof,candidato_fuerte_global,score_if_percentil_clase,score_lof_percentil_clase,n_train_clase,base_suficiente,candidato_fuerte_por_clase,candidato_robusto,prediccion,mal_clasificado,es_clase_dificil,candidato_interesante
CSS_J173822.3+541006,EW,0.35165094176263884,1.0361349933245758,False,9.327669006280015,28.721832286664206,16851,True,False,False,EW,False,False,False
CSS_J035942.1+250122,EW,0.35604192526099276,1.034235968076866,False,17.1407462135205,40.57997783524196,16851,True,False,False,EW,False,False,False
CSS_J050004.2+005836,EW,0.39172963788292486,1.0829597091677852,False,67.21462874030291,51.05282600664943,16851,True,False,False,EW,False,False,False
CSS_J052607.7+002624,EW,0.4896963242756119,1.244951210739226,False,97.70964166974511,80.5688954562246,16851,True,False,False,RS CVn,True,False,False
CSS_J231219.3+372824,EW,0.426058895819637,1.2768176296935123,False,82.4344292574806,94.86516438862209,16851,True,False,False,RRc,True,False,False
CSS_J222826.9+211010,EW,0.6695936600031938,2.054572863477038,True,99.87070557813077,99.88917620982637,16851,True,True,True,RS CVn,True,False,False
CSS_J104514.6+521648,EW,0.3923488385519217,1.096433594745887,False,59.91872922053935,66.2356852604359,16851,True,False,False,EW,False,False,False
CSS_J040227.2+260434,EW,0.4236311226722221,1.8848203286301246,False,76.91171038049501,99.20576283708903,16851,True,False,False,EW,False,False,False
CSS_J180350.8+340926,EW,0.5022610813922862,1.4891835412933234,False,98.6147026228297,94.9205762837089,16851,True,False,False,EA,True,False,False
CSS_J083404.6+124509,RRab,0.441266370217185,1.065768973064655,False,92.38578680203045,75.38071065989847,1249,True,False,False,EW,True,False,False
CSS_J130333.6+154001,RRc,0.3668269607528561,0.9998508407562123,False,3.854389721627409,4.496788008565311,2917,True,False,False,RRc,False,False,False
CSS_J072817.1+373857,EW,0.3843608636457171,1.0006548988430255,False,69.19098633173255,11.100849649057999,16851,True,False,False,EW,False,False,False
CSS_J103638.1+030423,EW,0.3772382687529036,1.0341287514841082,False,30.531954192833393,49.92611747321759,16851,True,False,False,EW,False,False,False
